look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,266696,267375,"l",
1,267376,269619,"c",
2,269620,273495,"l",
3,273496,273699,"c",
4,273700,275433,"l",
5,275434,279173,"r",
6,279174,280703,"a",
7,280704,281009,"r",
8,281010,282437,"l",
9,282438,282947,"r",
10,282948,283627,"l",
11,283628,287061,"r",
12,287062,287775,"l",
13,287776,288319,"l",
14,288320,288829,"c",
15,288830,289951,"r",
16,289952,291821,"l",
17,291822,292875,"r",
18,292876,294167,"l",
19,294168,296853,"r",
20,296854,299675,"c",
21,299676,304605,"r",
22,304606,309025,"l",
23,309026,309535,"a",
24,309536,310283,"r",
25,310284,0,"l",
26,311168,312017,"r",
27,312018,316199,"l",
28,316200,317491,"a",
29,317492,318069,"r",
30,318070,319667,"a",
31,319668,319735,"a",
32,319736,320551,"r",
33,320552,321231,"l",
34,321232,321673,"r",
35,321674,324427,"l",
36,324428,324801,"r",
37,324802,326331,"l",
38,326332,330717,"c",
39,330718,335239,"l",
40,335240,340271,"r",
41,340272,346425,"l",
42,346426,348057,"r",
43,348058,349893,"l",
44,349894,352919,"r",
45,352920,354517,"l",
46,354518,356183,"r",
47,356184,356659,"l",
48,356660,357135,"r",
49,357136,360467,"l",
50,360468,361113,"r",
51,361114,361589,"l",
52,361590,362031,"r",
53,362032,364377,"c",
54,364378,369749,"r",
55,369750,376073,"l",
56,376074,376447,"c",
57,376448,378113,"l",
58,378114,379881,"r",
59,379882,380901,"l",
60,380902,383111,"l",
61,383112,0,"c",
62,383418,384233,"l",
63,384234,386851,"r",
64,386852,389333,"l",
65,389334,389979,"r",
66,389980,390740,"l",
67,390741,0,"a",
