look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,253742,253911,"a",
1,253912,257651,"c",
2,257652,262411,"l",
3,262412,266491,"r",
4,266492,267069,"l",
5,267070,267273,"c",
6,267274,268123,"l",
7,268124,268837,"r",
8,268838,269721,"l",
9,269722,270911,"r",
10,270912,272917,"l",
11,272918,273189,"r",
12,273190,273631,"l",
13,273632,274243,"r",
14,274244,275025,"l",
15,275026,275807,"r",
16,275808,277847,"l",
17,277848,279173,"r",
18,279174,280125,"l",
19,280126,280567,"r",
20,280568,281315,"l",
21,281316,282539,"r",
22,282540,284613,"c",
23,284614,289815,"r",
24,289816,295357,"l",
25,295358,296071,"c",
26,296072,296411,"r",
27,296412,297091,"l",
28,297092,297635,"r",
29,297636,298009,"l",
30,298010,299335,"r",
31,299336,299641,"l",
32,299642,300015,"r",
33,300016,300525,"l",
34,300526,301001,"r",
35,301002,301375,"l",
36,301376,301749,"r",
37,301750,303347,"l",
38,303348,304299,"r",
39,304300,305897,"l",
40,305898,307801,"r",
41,307802,308209,"l",
42,308210,308617,"r",
43,308618,310011,"l",
44,310012,311031,"r",
45,311032,312289,"c",
46,312290,312867,"l",
47,312868,313547,"c",
48,313548,314125,"l",
49,314126,315179,"c",
50,315180,316573,"a",
51,316574,316675,"r",
52,316676,319157,"c",
53,319158,319837,"l",
54,319838,320007,"c",
55,320008,325277,"l",
56,325278,333471,"r",
57,333472,336157,"r",
58,336158,337721,"r",
59,337722,338129,"c",
60,338130,338843,"l",
61,338844,339455,"r",
62,339456,340849,"l",
63,340850,341529,"r",
64,341530,342413,"l",
65,342414,343331,"r",
66,343332,344419,"l",
67,344420,345677,"r",
68,345678,346187,"l",
69,346188,346561,"r",
70,346562,348703,"c",
71,348704,353123,"r",
72,353124,353633,"l",
73,353634,353871,"r",
74,353872,357509,"l",
75,357510,357815,"r",
76,357816,358257,"l",
77,358258,359719,"r",
78,359720,360025,"l",
79,360026,362983,"r",
80,362984,363459,"l",
81,363460,363935,"r",
82,363936,364819,"l",
83,364820,365635,"r",
84,365636,366111,"l",
85,366112,367131,"c",
86,367132,367607,"l",
87,367608,368559,"r",
88,368560,369511,"l",
89,369512,370429,"r",
90,370430,371721,"l",
91,371722,372095,"r",
92,372096,373013,"l",
93,373014,373489,"r",
94,373490,373965,"l",
95,373966,374653,"r",
96,374654,0,"a",
