"","subid","uuid","gender","trial_no","condition","test_trial","date_completed","age_in_weeks","exp_start","trial_duration","trial_start","trial_end","trial_start_video","trial_end_video","noun_image","noun_image_position","verb_image","verb_image_position","trial_audio"
"1","36641","723a01eb-c6e5-4e38-9249-830dfade56a1","m",9,"noun","76-test-trial-event-9","2021-03-06",1560,2021-08-06 01:37:59,8.013,2021-08-06 01:42:35,2021-08-06 01:42:43,275556.999921799,283557.999849319,"dax_noun","left","dax_verb","right","dax"
"2","36641","723a01eb-c6e5-4e38-9249-830dfade56a1","m",10,"noun","83-test-trial-event-10","2021-03-06",1560,2021-08-06 01:37:59,8.019,2021-08-06 01:43:04,2021-08-06 01:43:12,304388.000011444,312389.999866486,"vash_noun","right","vash_verb","left","vash"
"3","36641","723a01eb-c6e5-4e38-9249-830dfade56a1","m",11,"noun","91-test-trial-event-11","2021-03-06",1560,2021-08-06 01:37:59,8.009,2021-08-06 01:43:38,2021-08-06 01:43:46,339055.999994278,347056.999921799,"smick_noun","right","smick_verb","left","smick"
"4","36641","723a01eb-c6e5-4e38-9249-830dfade56a1","m",12,"noun","98-test-trial-event-12","2021-03-06",1560,2021-08-06 01:37:59,8.017,2021-08-06 01:44:07,2021-08-06 01:44:15,367700.000047684,375704.999923706,"nup_noun","left","nup_verb","right","nup"
"5","36652","e9df56cc-a829-46b5-a992-1112ac0d8cf1","f",9,"noun","76-test-trial-event-9","2021-03-06",1650,2021-08-06 13:02:03,8.006,2021-08-06 13:06:36,2021-08-06 13:06:44,272585.000038147,280585.999965668,"nup_noun","left","nup_verb","right","nup"
"6","36652","e9df56cc-a829-46b5-a992-1112ac0d8cf1","f",10,"noun","83-test-trial-event-10","2021-03-06",1650,2021-08-06 13:02:03,8.006,2021-08-06 13:07:04,2021-08-06 13:07:12,301008.999824524,309009.999990463,"smick_noun","left","smick_verb","right","smick"
"7","36652","e9df56cc-a829-46b5-a992-1112ac0d8cf1","f",11,"noun","91-test-trial-event-11","2021-03-06",1650,2021-08-06 13:02:03,8.007,2021-08-06 13:07:39,2021-08-06 13:07:47,335181.999921799,343181.999921799,"dax_noun","right","dax_verb","left","dax"
"8","36652","e9df56cc-a829-46b5-a992-1112ac0d8cf1","f",12,"noun","98-test-trial-event-12","2021-03-06",1650,2021-08-06 13:02:03,8.007,2021-08-06 13:08:07,2021-08-06 13:08:15,363592.99993515,371593.999862671,"vash_noun","left","vash_verb","right","vash"
"9","36660","87beb4ae-7da0-444b-827a-0f83660e78b1","f",9,"verb","76-test-trial-event-9","2021-03-06",1920,2021-08-06 13:44:29,8.015,2021-08-06 13:49:08,2021-08-06 13:49:16,278634.999990463,286638.000011444,"vash_noun","left","vash_verb","right","vash"
"10","36660","87beb4ae-7da0-444b-827a-0f83660e78b1","f",10,"verb","83-test-trial-event-10","2021-03-06",1920,2021-08-06 13:44:29,8.054,2021-08-06 13:49:36,2021-08-06 13:49:44,307526.000022888,315529.99997139,"nup_noun","right","nup_verb","left","nup"
"11","36660","87beb4ae-7da0-444b-827a-0f83660e78b1","f",11,"verb","91-test-trial-event-11","2021-03-06",1920,2021-08-06 13:44:29,8.023,2021-08-06 13:50:11,2021-08-06 13:50:19,342287.999868393,350290.999889374,"dax_noun","right","dax_verb","left","dax"
"12","36660","87beb4ae-7da0-444b-827a-0f83660e78b1","f",12,"verb","98-test-trial-event-12","2021-03-06",1920,2021-08-06 13:44:29,8.015,2021-08-06 13:50:40,2021-08-06 13:50:48,371066.999912262,379069.000005722,"smick_noun","left","smick_verb","right","smick"
"13","36701","ee6ab617-6193-448f-aca4-43e679dbf1bc","m",9,"verb","76-test-trial-event-9","2021-03-06",1410,2021-08-06 16:02:26,8.007,2021-08-06 16:07:04,2021-08-06 16:07:12,278139.000177383,286140.000104904,"smick_noun","right","smick_verb","left","smick"
"14","36701","ee6ab617-6193-448f-aca4-43e679dbf1bc","m",10,"verb","83-test-trial-event-10","2021-03-06",1410,2021-08-06 16:02:26,8.013,2021-08-06 16:07:33,2021-08-06 16:07:41,307191.00022316,315192.000150681,"vash_noun","right","vash_verb","left","vash"
"15","36701","ee6ab617-6193-448f-aca4-43e679dbf1bc","m",11,"verb","91-test-trial-event-11","2021-03-06",1410,2021-08-06 16:02:26,8.011,2021-08-06 16:08:08,2021-08-06 16:08:16,342184.000015259,350185.000181198,"nup_noun","left","nup_verb","right","nup"
"16","36701","ee6ab617-6193-448f-aca4-43e679dbf1bc","m",12,"verb","98-test-trial-event-12","2021-03-06",1410,2021-08-06 16:02:26,8.008,2021-08-06 16:08:37,2021-08-06 16:08:45,370877.00009346,378877.00009346,"dax_noun","left","dax_verb","right","dax"
"17","36742","9bc8cf36-dc54-4da7-90ee-5faa445d7571","f",9,"verb","76-test-trial-event-9","2021-03-06",1740,2021-08-06 19:17:19,8.034,2021-08-06 19:22:00,2021-08-06 19:22:08,280985.999822617,288991.999864578,"smick_noun","left","smick_verb","right","smick"
"18","36742","9bc8cf36-dc54-4da7-90ee-5faa445d7571","f",10,"verb","83-test-trial-event-10","2021-03-06",1740,2021-08-06 19:17:19,8.027,2021-08-06 19:22:29,2021-08-06 19:22:37,310322.000026703,318325.999975204,"nup_noun","left","nup_verb","right","nup"
"19","36742","9bc8cf36-dc54-4da7-90ee-5faa445d7571","f",11,"verb","91-test-trial-event-11","2021-03-06",1740,2021-08-06 19:17:19,8.032,2021-08-06 19:23:04,2021-08-06 19:23:12,345868.000030518,353873.999834061,"vash_noun","right","vash_verb","left","vash"
"20","36742","9bc8cf36-dc54-4da7-90ee-5faa445d7571","f",12,"verb","98-test-trial-event-12","2021-03-06",1740,2021-08-06 19:17:19,8.037,2021-08-06 19:23:34,2021-08-06 19:23:42,374953.999996185,382962.999820709,"dax_noun","right","dax_verb","left","dax"
"21","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",9,"noun","76-test-trial-event-9","2021-03-06",1860,2021-08-06 19:45:35,8.012,2021-08-06 19:50:13,2021-08-06 19:50:21,278187.99996376,286190.00005722,"vash_noun","right","vash_verb","left","vash"
"22","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",10,"noun","83-test-trial-event-10","2021-03-06",1860,2021-08-06 19:45:35,8.011,2021-08-06 19:50:42,2021-08-06 19:50:50,307045.000076294,315047.000169754,"dax_noun","left","dax_verb","right","dax"
"23","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",11,"noun","91-test-trial-event-11","2021-03-06",1860,2021-08-06 19:45:35,8.01,2021-08-06 19:51:17,2021-08-06 19:51:25,342101.999998093,350104.000091553,"nup_noun","right","nup_verb","left","nup"
