"","X","condition","img_side_order","trial_no","img_pair_name","trial_type","target_audio_type","target_audio","left_img","right_img","clicked_img","start_time","current_windowW","current_windowH","end_pre1_time","end_pre2_time","end_img_reset_time","end_contrast_time","start_event_time","end_event_time","end_trial_time","start_event_timept","end_event_timept","time","x","y","Browser","OS","screenH","screenW","windowH","windowW","imageH","imageW","language","age","gender","eyesight","eyesight_task","comments","accuracy","previous_accuracy_attempts","time_in_minutes","participant_id","exp.clicked","trials_completed","data_point_no","starting_time","time_since_trial_start","trial_stage","img1_left_x","img1_right_x","top_y","bottom_y","img2_left_x","img2_right_x","look_left_img","look_right_img","action_img","look_action_img","look_object_img","frame_start","frame_end","novel_word_end","trial_frame_start","trial_frame_end","previous_look_action_img","previous_look_object_img","trial_name","time_since_disambig","pre_frame_prop","post_frame_prop","trial_diff_prop_action","subj_diff_prop_action","girls_end"
"1",3545,"noun","img_side_order1",9,"pair12","novel","novel","vash","vash_verb","vash_noun","none",1597885703016,1366,617,5159,10240,11306,17397,18475,26543,1597885730936,1597885721491,1597885729559,355934.550000005,392,620,"Chrome","Linux",768,1366,617,1366,288,400,"English",34,"Male","nearsighted","neither",NA,60,"[]",8.1369,104896,NA,12,287,337375.104999985,18559.4450000208,"event",-107,593,90,678,773,1473,TRUE,FALSE,"left",TRUE,FALSE,1994,2472,3275,20469,20947,TRUE,FALSE,"Trial 9",-1909.5549999792,0.666666666666667,0.295454545454545,-0.371212121212121,-0.34767316017316,476.918316831683
"2",3960,"noun","img_side_order1",10,"pair11","novel","novel","smick","smick_noun","smick_verb","none",1597885730938,1366,617,5127,10205,11282,17448,18533,26608,1597885758788,1597885749471,1597885757546,384172.629999986,813,220,"Chrome","Linux",768,1366,617,1366,288,400,"English",34,"Male","nearsighted","neither",NA,60,"[]",8.1369,104896,NA,12,292,365297.495000006,18875.1349999802,"event",-107,593,90,678,773,1473,FALSE,TRUE,"right",TRUE,FALSE,1987,2485,3261,20520,21018,FALSE,FALSE,"Trial 10",-1644.8650000198,0.0909090909090909,0,-0.0909090909090909,-0.34767316017316,476.918316831683
"3",4374,"noun","img_side_order1",11,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597885758790,1366,617,5162,10256,11342,17399,18495,26574,1597885786483,1597885777285,1597885785364,412171.990000003,25,163,"Chrome","Linux",768,1366,617,1366,288,400,"English",34,"Male","nearsighted","neither",NA,60,"[]",8.1369,104896,NA,12,294,393153.545000008,19018.4449999942,"event",-107,593,90,678,773,1473,TRUE,FALSE,"left",TRUE,FALSE,2016,2497,3354,20511,20992,FALSE,FALSE,"Trial 11",-1492.5550000058,0.666666666666667,0.0833333333333333,-0.583333333333333,-0.34767316017316,476.918316831683
"4",4780,"noun","img_side_order1",12,"pair10","novel","novel","nup","nup_noun","nup_verb","nup_noun",1597885786485,1366,617,5156,10243,11344,17460,18554,26716,1597885819667,1597885805039,1597885813201,439576.264999982,419,246,"Chrome","Linux",768,1366,617,1366,288,400,"English",34,"Male","nearsighted","neither",NA,60,"[]",8.1369,104896,NA,12,289,420833.994999994,18742.2699999879,"event",-107,593,90,678,773,1473,TRUE,FALSE,"right",FALSE,TRUE,1992,2443,2996,20546,20997,FALSE,FALSE,"Trial 12",-1803.7300000121,0.428571428571429,0.0833333333333333,-0.345238095238095,-0.34767316017316,476.918316831683
"5",18011,"baseline","img_side_order1",9,"pair11","novel","novel","smick","smick_verb","smick_noun","none",1598041986104,1440,837,5032,10060,11086,17096,18118,26119,1598042013731,1598042004222,1598042012223,354410,530,461,"Safari","Mac",900,1440,837,1440,288,400,"English",20,"Male","nearsighted","neither",NA,59,"[44]",7.92168333333333,115570,NA,12,1051,336279,18131.0000000001,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,1987,2485,3261,20105,20603,TRUE,FALSE,"Trial 9",-1973.9999999999,0.473684210526316,0.0470588235294118,-0.426625386996904,-0.103474231113441,476.918316831683
"6",19524,"baseline","img_side_order1",10,"pair12","novel","novel","vash","vash_noun","vash_verb","none",1598042013731,1440,837,5048,10048,11054,17068,18126,26155,1598042040972,1598042031857,1598042039886,382047,928,244,"Safari","Mac",900,1440,837,1440,288,400,"English",20,"Male","nearsighted","neither",NA,59,"[44]",7.92168333333333,115570,NA,12,1057,363908,18139.0000000001,"event",-70,630,156,744,810,1510,FALSE,TRUE,"right",TRUE,FALSE,1994,2472,3275,20120,20598,FALSE,FALSE,"Trial 10",-1980.9999999999,0.789473684210526,0.758241758241758,-0.0312319259687681,-0.103474231113441,476.918316831683
"7",21046,"baseline","img_side_order1",11,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1598042040973,1440,837,5036,10053,11067,17086,18087,26116,1598042068684,1598042059060,1598042067089,409333,544,318,"Safari","Mac",900,1440,837,1440,288,400,"English",20,"Male","nearsighted","neither",NA,59,"[44]",7.92168333333333,115570,NA,12,1076,391150,18183.0000000001,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,2016,2497,3354,20103,20584,FALSE,FALSE,"Trial 11",-1919.9999999999,0.105263157894737,0.133333333333333,0.0280701754385965,-0.103474231113441,476.918316831683
"8",22577,"baseline","img_side_order1",12,"pair10","novel","novel","nup","nup_noun","nup_verb","nup_verb",1598042068685,1440,837,5045,10064,11069,17094,18103,26110,1598042097986,1598042086788,1598042094795,437050,859,263,"Safari","Mac",900,1440,837,1440,288,400,"English",20,"Male","nearsighted","neither",NA,59,"[44]",7.92168333333333,115570,NA,12,1073,418864,18186,"event",-70,630,156,744,810,1510,FALSE,TRUE,"right",TRUE,FALSE,1992,2443,2996,20095,20546,FALSE,FALSE,"Trial 12",-1909,0.923076923076923,0.938967136150235,0.0158902130733116,-0.103474231113441,476.918316831683
"9",33849,"baseline","img_side_order1",9,"pair10","novel","novel","nup","nup_verb","nup_noun","none",1598043265623,1280,578,5027,10028,11029,17032,18048,26053,1598043293112,1598043283671,1598043291676,397124.814999988,1217,579,"Chrome","Windows",720,1280,578,1280,288,400,"English",19,"Female","nearsighted","contacts","no, but I'm very curious as to the purpose of this study!",60,"[]",9.25303333333333,123646,NA,12,869,379056.285000057,18068.5299999313,"event",-150,550,66,654,730,1430,FALSE,TRUE,"left",FALSE,TRUE,1992,2443,2996,20040,20491,FALSE,FALSE,"Trial 9",-1971.4700000687,0.173913043478261,0.0478723404255319,-0.126040703052729,-0.288736344695764,476.918316831683
"10",35101,"baseline","img_side_order1",10,"pair9","novel","novel","dax","dax_noun","dax_verb","none",1598043293113,1280,578,5037,10039,11055,17058,18074,26075,1598043321083,1598043311187,1598043319188,424640.890000039,813,113,"Chrome","Windows",720,1280,578,1280,288,400,"English",19,"Female","nearsighted","contacts","no, but I'm very curious as to the purpose of this study!",60,"[]",9.25303333333333,123646,NA,12,870,406551.130000036,18089.7600000026,"event",-150,550,66,654,730,1430,FALSE,TRUE,"right",TRUE,FALSE,2016,2497,3354,20090,20571,TRUE,FALSE,"Trial 10",-2000.2399999974,0.784615384615385,0.196261682242991,-0.588353702372394,-0.288736344695764,476.918316831683
