"","timebin","condition","timebin_prop_action","girls_end","novel_word_end"
"1",-2000,"baseline",0.466666666666667,476.998091889458,1224.15567180499
"2",-2000,"noun",0.666666666666667,476.998091889458,1224.15567180499
"3",-2000,"verb",0.615384615384615,476.998091889458,1224.15567180499
"4",-1950,"baseline",0.523809523809524,476.998091889458,1224.15567180499
"5",-1950,"noun",0.560606060606061,476.998091889458,1224.15567180499
"6",-1950,"verb",0.5,476.998091889458,1224.15567180499
"7",-1900,"baseline",0.507692307692308,476.998091889458,1224.15567180499
"8",-1900,"noun",0.557142857142857,476.998091889458,1224.15567180499
"9",-1900,"verb",0.462962962962963,476.998091889458,1224.15567180499
"10",-1850,"baseline",0.522388059701492,476.998091889458,1224.15567180499
"11",-1850,"noun",0.552238805970149,476.998091889458,1224.15567180499
"12",-1850,"verb",0.471698113207547,476.998091889458,1224.15567180499
"13",-1800,"baseline",0.507462686567164,476.998091889458,1224.15567180499
"14",-1800,"noun",0.547945205479452,476.998091889458,1224.15567180499
"15",-1800,"verb",0.471698113207547,476.998091889458,1224.15567180499
"16",-1750,"baseline",0.538461538461538,476.998091889458,1224.15567180499
"17",-1750,"noun",0.529411764705882,476.998091889458,1224.15567180499
"18",-1750,"verb",0.490909090909091,476.998091889458,1224.15567180499
"19",-1700,"baseline",0.523076923076923,476.998091889458,1224.15567180499
"20",-1700,"noun",0.52112676056338,476.998091889458,1224.15567180499
"21",-1700,"verb",0.490909090909091,476.998091889458,1224.15567180499
"22",-1650,"baseline",0.540983606557377,476.998091889458,1224.15567180499
"23",-1650,"noun",0.53030303030303,476.998091889458,1224.15567180499
"24",-1650,"verb",0.446428571428571,476.998091889458,1224.15567180499
"25",-1600,"baseline",0.523076923076923,476.998091889458,1224.15567180499
"26",-1600,"noun",0.527777777777778,476.998091889458,1224.15567180499
"27",-1600,"verb",0.452830188679245,476.998091889458,1224.15567180499
"28",-1550,"baseline",0.516666666666667,476.998091889458,1224.15567180499
"29",-1550,"noun",0.567164179104478,476.998091889458,1224.15567180499
"30",-1550,"verb",0.452830188679245,476.998091889458,1224.15567180499
"31",-1500,"baseline",0.507692307692308,476.998091889458,1224.15567180499
"32",-1500,"noun",0.594594594594595,476.998091889458,1224.15567180499
"33",-1500,"verb",0.491525423728814,476.998091889458,1224.15567180499
"34",-1450,"baseline",0.484375,476.998091889458,1224.15567180499
"35",-1450,"noun",0.597222222222222,476.998091889458,1224.15567180499
"36",-1450,"verb",0.515625,476.998091889458,1224.15567180499
"37",-1400,"baseline",0.455882352941176,476.998091889458,1224.15567180499
"38",-1400,"noun",0.6,476.998091889458,1224.15567180499
"39",-1400,"verb",0.5,476.998091889458,1224.15567180499
"40",-1350,"baseline",0.477611940298507,476.998091889458,1224.15567180499
"41",-1350,"noun",0.594594594594595,476.998091889458,1224.15567180499
"42",-1350,"verb",0.5,476.998091889458,1224.15567180499
"43",-1300,"baseline",0.436619718309859,476.998091889458,1224.15567180499
"44",-1300,"noun",0.6,476.998091889458,1224.15567180499
"45",-1300,"verb",0.492537313432836,476.998091889458,1224.15567180499
"46",-1250,"baseline",0.447761194029851,476.998091889458,1224.15567180499
"47",-1250,"noun",0.662337662337662,476.998091889458,1224.15567180499
"48",-1250,"verb",0.521739130434783,476.998091889458,1224.15567180499
"49",-1200,"baseline",0.434782608695652,476.998091889458,1224.15567180499
"50",-1200,"noun",0.641975308641975,476.998091889458,1224.15567180499
"51",-1200,"verb",0.550724637681159,476.998091889458,1224.15567180499
"52",-1150,"baseline",0.463768115942029,476.998091889458,1224.15567180499
"53",-1150,"noun",0.628205128205128,476.998091889458,1224.15567180499
"54",-1150,"verb",0.550724637681159,476.998091889458,1224.15567180499
"55",-1100,"baseline",0.493150684931507,476.998091889458,1224.15567180499
"56",-1100,"noun",0.614457831325301,476.998091889458,1224.15567180499
"57",-1100,"verb",0.563380281690141,476.998091889458,1224.15567180499
"58",-1050,"baseline",0.5,476.998091889458,1224.15567180499
"59",-1050,"noun",0.530120481927711,476.998091889458,1224.15567180499
"60",-1050,"verb",0.594594594594595,476.998091889458,1224.15567180499
"61",-1000,"baseline",0.486111111111111,476.998091889458,1224.15567180499
"62",-1000,"noun",0.511363636363636,476.998091889458,1224.15567180499
"63",-1000,"verb",0.611111111111111,476.998091889458,1224.15567180499
"64",-950,"baseline",0.47887323943662,476.998091889458,1224.15567180499
"65",-950,"noun",0.488372093023256,476.998091889458,1224.15567180499
"66",-950,"verb",0.577464788732394,476.998091889458,1224.15567180499
"67",-900,"baseline",0.458333333333333,476.998091889458,1224.15567180499
"68",-900,"noun",0.465116279069767,476.998091889458,1224.15567180499
"69",-900,"verb",0.555555555555556,476.998091889458,1224.15567180499
"70",-850,"baseline",0.479452054794521,476.998091889458,1224.15567180499
"71",-850,"noun",0.458823529411765,476.998091889458,1224.15567180499
"72",-850,"verb",0.534246575342466,476.998091889458,1224.15567180499
"73",-800,"baseline",0.493150684931507,476.998091889458,1224.15567180499
"74",-800,"noun",0.453488372093023,476.998091889458,1224.15567180499
"75",-800,"verb",0.573333333333333,476.998091889458,1224.15567180499
"76",-750,"baseline",0.5,476.998091889458,1224.15567180499
"77",-750,"noun",0.44578313253012,476.998091889458,1224.15567180499
"78",-750,"verb",0.569444444444444,476.998091889458,1224.15567180499
"79",-700,"baseline",0.540540540540541,476.998091889458,1224.15567180499
"80",-700,"noun",0.471264367816092,476.998091889458,1224.15567180499
"81",-700,"verb",0.577464788732394,476.998091889458,1224.15567180499
"82",-650,"baseline",0.554054054054054,476.998091889458,1224.15567180499
"83",-650,"noun",0.433734939759036,476.998091889458,1224.15567180499
"84",-650,"verb",0.541666666666667,476.998091889458,1224.15567180499
"85",-600,"baseline",0.567567567567568,476.998091889458,1224.15567180499
"86",-600,"noun",0.433734939759036,476.998091889458,1224.15567180499
"87",-600,"verb",0.549295774647887,476.998091889458,1224.15567180499
"88",-550,"baseline",0.540540540540541,476.998091889458,1224.15567180499
"89",-550,"noun",0.439024390243902,476.998091889458,1224.15567180499
"90",-550,"verb",0.561643835616438,476.998091889458,1224.15567180499
"91",-500,"baseline",0.520547945205479,476.998091889458,1224.15567180499
"92",-500,"noun",0.476744186046512,476.998091889458,1224.15567180499
"93",-500,"verb",0.547945205479452,476.998091889458,1224.15567180499
"94",-450,"baseline",0.507042253521127,476.998091889458,1224.15567180499
"95",-450,"noun",0.457831325301205,476.998091889458,1224.15567180499
"96",-450,"verb",0.534246575342466,476.998091889458,1224.15567180499
"97",-400,"baseline",0.534246575342466,476.998091889458,1224.15567180499
"98",-400,"noun",0.470588235294118,476.998091889458,1224.15567180499
"99",-400,"verb",0.547945205479452,476.998091889458,1224.15567180499
"100",-350,"baseline",0.513888888888889,476.998091889458,1224.15567180499
"101",-350,"noun",0.428571428571429,476.998091889458,1224.15567180499
"102",-350,"verb",0.563380281690141,476.998091889458,1224.15567180499
"103",-300,"baseline",0.513513513513513,476.998091889458,1224.15567180499
"104",-300,"noun",0.441860465116279,476.998091889458,1224.15567180499
"105",-300,"verb",0.527777777777778,476.998091889458,1224.15567180499
"106",-250,"baseline",0.554054054054054,476.998091889458,1224.15567180499
"107",-250,"noun",0.44578313253012,476.998091889458,1224.15567180499
"108",-250,"verb",0.542857142857143,476.998091889458,1224.15567180499
"109",-200,"baseline",0.539473684210526,476.998091889458,1224.15567180499
"110",-200,"noun",0.476744186046512,476.998091889458,1224.15567180499
"111",-200,"verb",0.555555555555556,476.998091889458,1224.15567180499
"112",-150,"baseline",0.555555555555556,476.998091889458,1224.15567180499
"113",-150,"noun",0.470588235294118,476.998091889458,1224.15567180499
"114",-150,"verb",0.549295774647887,476.998091889458,1224.15567180499
"115",-100,"baseline",0.533333333333333,476.998091889458,1224.15567180499
"116",-100,"noun",0.511363636363636,476.998091889458,1224.15567180499
"117",-100,"verb",0.542857142857143,476.998091889458,1224.15567180499
"118",-50,"baseline",0.571428571428571,476.998091889458,1224.15567180499
"119",-50,"noun",0.517241379310345,476.998091889458,1224.15567180499
"120",-50,"verb",0.569230769230769,476.998091889458,1224.15567180499
